tJ2,gxx,gxy,gzz
1.3,0.166765,0.00049268,0.167518
1.32,0.164734,0.000485282,0.165494
1.34,0.162701,0.00047787,0.163466
1.36,0.160666,0.000470469,0.161436
1.38,0.158631,0.000463105,0.159404
1.4,0.156596,0.000455803,0.157373
1.42,0.154562,0.000448586,0.155341
1.44,0.152531,0.000441479,0.15331
1.46,0.150502,0.000434506,0.151282
1.48,0.148476,0.000427687,0.149255
1.5,0.146454,0.000421047,0.147232
1.52,0.144438,0.000414605,0.145213
1.54,0.142427,0.000408383,0.143199
1.56,0.140422,0.000402399,0.14119
1.58,0.138424,0.000396672,0.139187
